  R      T        E         alf        sig   
0.055   400.0    190000   0.0000137    1260.0
0.056   400.0    190000   0.0000137    1260.0
0.063   400.2    189987   0.0000137    1259.9
0.072   400.9    189943   0.0000137    1259.5
0.088   403.6    189787   0.0000137    1258.0
0.100   406.6    189603   0.0000137    1256.3
0.132   419.4    188838   0.0000138    1249.2
0.165   439.5    187629   0.0000138    1237.9
0.199   467.7    185937   0.0000139    1222.1
0.230   500.0    184000   0.0000140    1204.0
