                                                  Таблица
-------------------------------------------------------------------------------------
| Угол |Давлен. Р | Сила  PR |Сила ин. F|Сум.силаPS| Сила  NS |Окp.сила T|Pад.сила Z|
-------------------------------------------------------------------------------------
|180.00| .1336E+06| .1029E+04| .1461E+05| .1564E+05| .9915E-02| .2975E-01|-.1564E+05|
|190.00| .1345E+06| .1046E+04| .1461E+05| .1566E+05|-.6804E+03|-.2049E+04|-.1554E+05|
|200.00| .1372E+06| .1097E+04| .1458E+05| .1568E+05|-.1345E+04|-.4097E+04|-.1519E+05|
|210.00| .1419E+06| .1185E+04| .1444E+05| .1563E+05|-.1969E+04|-.6108E+04|-.1452E+05|
|220.00| .1489E+06| .1319E+04| .1408E+05| .1540E+05|-.2507E+04|-.7978E+04|-.1341E+05|
|230.00| .1588E+06| .1506E+04| .1337E+05| .1488E+05|-.2903E+04|-.9531E+04|-.1179E+05|
|240.00| .1723E+06| .1762E+04| .1218E+05| .1394E+05|-.3092E+04|-.1053E+05|-.9648E+04|
|250.00| .1905E+06| .2109E+04| .1040E+05| .1251E+05|-.3023E+04|-.1072E+05|-.7118E+04|
|260.00| .2153E+06| .2579E+04| .7962E+04| .1054E+05|-.2678E+04|-.9915E+04|-.4467E+04|
|270.00| .2489E+06| .3218E+04| .4872E+04| .8090E+04|-.2089E+04|-.8090E+04|-.2089E+04|
|280.00| .2952E+06| .4097E+04| .1194E+04| .5291E+04|-.1344E+04|-.5444E+04|-.4048E+03|
|290.00| .3596E+06| .5319E+04|-.2933E+04| .2387E+04|-.5768E+03|-.2440E+04| .2742E+03|
|300.00| .4502E+06| .7040E+04|-.7307E+04|-.2674E+03| .5931E+02| .2613E+03|-.8235E+02|
|310.00| .5782E+06| .9472E+04|-.1168E+05|-.2208E+04| .4308E+03| .1968E+04|-.1089E+04|
|320.00| .7571E+06| .1287E+05|-.1577E+05|-.2905E+04| .4729E+03| .2229E+04|-.1921E+04|
|330.00| .9954E+06| .1740E+05|-.1931E+05|-.1916E+04| .2414E+03| .1167E+04|-.1539E+04|
|340.00| .1277E+07| .2275E+05|-.2204E+05| .7033E+03|-.6035E+02|-.2972E+03| .6402E+03|
|350.00| .1531E+07| .2757E+05|-.2377E+05| .3800E+04|-.1651E+03|-.8226E+03| .3714E+04|
|360.00| .1638E+07| .2960E+05|-.2436E+05| .5238E+04|-.4142E-02|-.2071E-01| .5238E+04|
-------------------------------------------------------------------------------------
