                                                  Таблица
-------------------------------------------------------------------------------------
| Угол |Давлен. Р | Сила  PR |Сила ин. F|Сум.силаPS| Сила  NS |Окp.сила T|Pад.сила Z|
-------------------------------------------------------------------------------------
|360.00| .3822E+07| .7107E+05|-.2066E+05| .5041E+05|-.6978E-01|-.3254E+00| .5041E+05|
|372.86| .4053E+07| .7545E+05|-.1981E+05| .5564E+05| .3386E+04| .1568E+05| .5349E+05|
|385.71| .3119E+07| .5772E+05|-.1738E+05| .4034E+05| .4812E+04| .2184E+05| .3426E+05|
|398.57| .2250E+07| .4122E+05|-.1367E+05| .2755E+05| .4758E+04| .2090E+05| .1857E+05|
|411.43| .1626E+07| .2937E+05|-.9131E+04| .2024E+05| .4421E+04| .1858E+05| .9161E+04|
|424.29| .1214E+07| .2154E+05|-.4278E+04| .1726E+05| .4379E+04| .1745E+05| .3542E+04|
|437.14| .9447E+06| .1643E+05| .3802E+03| .1681E+05| .4642E+04| .1742E+05|-.7845E+03|
|450.00| .7673E+06| .1306E+05| .4430E+04| .1749E+05| .4964E+04| .1749E+05|-.4964E+04|
|462.86| .6482E+06| .1080E+05| .7601E+04| .1840E+05| .5081E+04| .1681E+05|-.9049E+04|
|475.71| .5672E+06| .9264E+04| .9802E+04| .1907E+05| .4838E+04| .1508E+05|-.1263E+05|
|488.57| .5120E+06| .8215E+04| .1110E+05| .1932E+05| .4220E+04| .1247E+05|-.1534E+05|
|501.43| .4749E+06| .7509E+04| .1170E+05| .1921E+05| .3318E+04| .9383E+04|-.1709E+05|
|514.29| .4511E+06| .7057E+04| .1186E+05| .1891E+05| .2256E+04| .6174E+04|-.1802E+05|
|527.14| .4378E+06| .6806E+04| .1183E+05| .1863E+05| .1134E+04| .3041E+04|-.1842E+05|
|540.00| .4336E+06| .6725E+04| .1180E+05| .1852E+05| .3846E-01| .1024E+00|-.1852E+05|
-------------------------------------------------------------------------------------
